technology,direct_min,direct_median,direct_max,infrastructure_supply_chain,biogenic_co2_albedo,methane,lifecycle_min,lifecycle_median,lifecycle_max,plant_lifetime_yr
Coal — PC,670,760,870,9.6,0,47,740,820,910,40
Gas — Combined Cycle,350,370,490,1.6,0,91,410,490,650,30
Biomass — dedicated,,,,210,27,0,130,230,420,
Geothermal,0,0,0,45,0,0,6.0,38,79,
Hydropower,0,0,0,19,0,88,1.0,24,2200,50
Nuclear,0,0,0,18,0,0,3.7,12,110,
Concentrated Solar Power,0,0,0,29,0,0,8.8,27,63,
Solar PV — rooftop,0,0,0,42,0,0,26,41,60,25
Solar PV — utility,0,0,0,66,0,0,18,48,180,25
Wind onshore,0,0,0,15,0,0,7.0,11,56,25
Wind offshore,0,0,0,17,0,0,8.0,12,35,25
