year,generation_twh,coal,gas,oil,hydro,nuclear,wind,solar,bioenergy
2015,5814.58,69.59,2.87,0.63,19.17,2.95,3.19,0.68,0.93
2016,6133.16,67.77,3.07,0.86,18.8,3.48,3.93,1.08,1.01
2017,6604.44,67.08,3.08,0.85,17.64,3.76,4.61,1.78,1.2
2018,7166.14,66.48,3.01,0.79,16.73,4.12,5.11,2.47,1.31
2019,7503.43,64.71,3.1,0.7,16.96,4.65,5.4,2.98,1.5
2020,7779.07,63.27,3.25,0.69,16.99,4.71,6.0,3.36,1.74
2021,8534.26,62.5,3.36,0.67,15.23,4.78,7.68,3.83,1.94
2022,8848.71,61.17,3.12,0.81,14.67,4.72,8.62,4.83,2.06
2023,9456.45,60.85,3.15,0.8,12.96,4.6,9.37,6.18,2.1
2024,10072.6,58.18,3.01,0.76,13.45,4.42,9.85,8.28,2.07
