year,coal_share_pct,non_fossil_share_pct,intensity_median,intensity_min,intensity_max,covered_share_pct
2015,69.59,26.92,596.2,531.9,1090.6,99.38
2016,67.77,28.3,584.0,520.7,1071.7,99.14
2017,67.08,28.99,578.9,515.9,1042.3,99.15
2018,66.48,29.74,573.6,511.1,1017.8,99.23
2019,64.71,31.49,559.8,498.3,1009.0,99.3
2020,63.27,32.8,549.4,488.5,999.4,99.32
2021,62.5,33.46,544.0,483.6,956.8,99.32
2022,61.17,34.9,533.3,473.8,934.6,99.19
2023,60.85,35.21,531.1,471.7,896.7,99.21
2024,58.18,38.07,509.2,451.4,885.4,99.26
